"enso","iod","au"
25.6333333333333,-0.203089404,8.26271868339297e-06
27.2266666666667,0.215856947,2.59352874259623e-06
26.18,-0.19035335,3.29146451578528e-06
26.92,0.262264,2.17862777114839e-06
25.3066666666667,-0.385653948,3.97037335089863e-06
24.6466666666667,-0.27529761,3.09995261239686e-06
25.68,-0.49412903,2.65800167475666e-06
27.4933333333333,-0.13346269,2.1401690079468e-06
26.5333333333333,-0.591690991,4.41260226415614e-06
26.0666666666667,-0.269686248,5.39718991781553e-06
26.3066666666667,-0.599683599,5.07580125819981e-06
25.8533333333333,0.921643816,5.99199323605627e-06
25.8866666666667,0.067194641,3.93588934829458e-06
27.41,0.735412874,4.50798886647205e-06
25.3166666666667,-0.209241771,6.7769336764715e-06
28.1,0.269636586,3.63389348632064e-06
26.24,0.088046154,4.50461159691445e-06
25.97,0.770538181,2.52530610918656e-06
26.89,-0.056210856,1.93399005993098e-06
27.1966666666667,0.171177601,4.16530105158424e-06
25.6066666666667,-0.239223486,6.08986761870456e-06
25.5833333333333,-0.206548479,4.42731208509779e-06
28.2733333333333,0.969505545,3.81474465470044e-06
24.7066666666667,-0.051980092,8.63653871084049e-06
25.8233333333333,-0.263599812,6.71795526303593e-06
24.9966666666667,-0.564326547,9.52193112658557e-06
27.2966666666667,-0.106935146,6.74778995822649e-06
27.22,0.492528067,4.7929765753339e-06
26.1966666666667,0.151438725,6.81529499363385e-06
26.9366666666667,-0.065129586,5.0251306213323e-06
26.5,-0.148188042,4.21465740628187e-06
26.4133333333333,-0.142346145,5.92703228214833e-06
28.5133333333333,0.595202251,2.67734735823664e-06
25.7233333333333,0.149513975,9.61230631526544e-06
25.98,-0.285313687,8.90628431644353e-06
26.1933333333333,0.111995405,1.05001224040436e-05
27.4933333333333,0.401245645,8.44462356516569e-06
28.03,0.216266463,6.99498072151709e-06
25.0633333333333,-0.243964654,6.06909113126677e-06
26.33,-0.342778216,6.71887090680878e-06
26.8933333333333,-0.305326119,3.23339353054546e-06
27.54,0.388742628,4.25974746611675e-06
26.4966666666667,-0.128112229,7.09818655603344e-06
26.85,-0.18409085,5.48582095869627e-06
27.4933333333333,0.670809082,3.91218023780597e-06
25.7733333333333,-0.081608407,7.09097119541965e-06
26.2766666666667,-0.657862496,6.45791252676914e-06
29.0166666666667,1.072446178,7.20607380517293e-06
25.3166666666667,-0.599126827,1.40163109232126e-05
25.41,0.064273677,1.06543429247385e-05
26.0466666666667,0.200364035,1.2789435160568e-05
26.4733333333333,-0.063121621,7.95757232612935e-06
27.98,0.680976524,3.15003887118984e-06
27.0566666666667,-0.05550723,3.83053748554643e-06
27.4433333333333,0.208028574,4.26731737437654e-06
26.48,-0.195763044,6.78779236624957e-06
27.4733333333333,0.652455841,3.33554883209247e-06
25.3666666666667,0.270266337,7.50547128780964e-06
26.3633333333333,0.075942718,9.42374077875375e-06
27.72,0.051781406,5.7066046049582e-06
25.07,-0.614484073,1.59396392446582e-05
25.7033333333333,0.32653993,8.73816035822247e-06
26.98,0.519115383,4.58324882975783e-06
26.54,0.064103344,7.33064690493835e-06
27.21,0.137210012,5.71496786148281e-06
29.1433333333333,0.477266585,5.84505640883454e-06
26.02,-0.30041508,8.94590475203778e-06
26.06,0.342054828,1.03707965666307e-05
27.4733333333333,0.81406804,7.93134431343476e-06
27.0566666666667,1.083968713,3.40170998606051e-06
